Date,Temp,线性回归,二次多项式回归,三次多项式回归,岭回归,随机森林,多层神经元
1981-01-01,20.7,16.921875,19.3828125,20.699999999999527,15.957939505704882,18.5072307956495,16.20609
1981-01-02,17.9,17.078125,19.71484375,17.899999999999824,16.155828468944406,18.291540498413195,16.064705
1981-01-03,18.8,16.421875,21.232421875,18.799999999999745,15.643841584308296,17.563921308008393,15.425686
1981-01-04,14.6,15.921875,16.884765625,14.599999999999975,15.496693386156494,17.30299241885459,17.55909
1981-01-05,15.8,15.421875,17.046875,15.800000000000058,15.25983016082738,17.348061063286508,17.80454
1981-01-06,15.8,15.921875,19.671875,15.80000000000005,15.777279721484831,17.403473410336968,17.65638
1981-01-07,15.8,16.203125,18.646484375,15.80000000000003,15.859574069038544,17.3307581384017,17.615936
1981-01-08,17.4,15.78125,20.431640625,17.399999999999846,15.519688469777273,17.517358037989606,17.67005
1981-01-09,21.8,15.625,19.423828125,21.799999999999812,15.463898301124939,17.93226374152688,17.765373
1981-01-10,20.0,15.5,17.708984375,19.999999999999908,15.42260585687217,18.08136649518817,17.216917
1981-01-11,16.2,15.5625,16.462890625,16.19999999999998,15.149614213952034,17.551749315700988,17.36019
1981-01-12,13.3,15.59375,18.25390625,13.29999999999996,15.23931136650156,17.413513238941945,17.46385
1981-01-13,16.7,15.28125,15.763671875,16.700000000000017,15.033012948997024,17.568103244571777,17.260868
1981-01-14,21.5,15.96875,17.5,21.49999999999987,15.7945973769693,18.664842517624425,17.265612
1981-01-15,25.0,16.421875,15.451171875,25.00000000000019,15.998595387456064,19.700246411381993,17.709797
1981-01-16,20.7,15.609375,17.556640625,20.69999999999999,15.691604928850772,19.448587805553693,17.577106
1981-01-17,20.6,15.046875,19.552734375,20.600000000000243,15.237421098697297,19.797498390563256,16.503174
1981-01-18,24.8,14.859375,19.474609375,24.80000000000006,15.02319928862218,20.625047058046444,16.821674
1981-01-19,17.7,15.171875,19.044921875,17.699999999999843,15.182748150961187,18.63042594753335,16.955189
1981-01-20,15.5,15.171875,18.537109375,15.499999999999947,15.357086223089306,18.47975591042815,16.84788
1981-01-21,18.2,15.203125,17.376953125,18.20000000000014,15.18124274689959,18.229652201646385,17.198433
1981-01-22,12.1,15.015625,12.388671875,12.099999999999913,14.903625731627745,14.832499312884698,17.532228
1981-01-23,14.4,15.328125,13.681640625,14.400000000000297,15.295718445390236,15.561437912323129,17.580612
1981-01-24,16.0,15.015625,16.900390625,16.000000000000426,15.049631680342292,15.765783497836397,16.80859
1981-01-25,16.5,15.515625,18.251953125,16.50000000000044,15.293743400105782,15.779106416463662,16.53952
1981-01-26,18.7,15.109375,18.115234375,18.69999999999975,14.988243117307421,16.782885113727783,17.258268
1981-01-27,19.4,15.109375,17.740234375,19.39999999999998,15.054941088590866,16.658534926986416,17.230234
1981-01-28,17.2,15.578125,20.080078125,17.20000000000004,15.522382743825403,16.170860043563074,17.216175
1981-01-29,15.5,15.859375,19.013671875,15.499999999999998,15.746357054660646,15.884938109941139,17.200056
1981-01-30,15.1,15.828125,20.669921875,15.09999999999991,15.85113105387365,15.880741861744891,17.134804
1981-01-31,15.4,15.453125,19.548828125,15.400000000000116,15.449588290684373,15.788285642768246,16.490198
1981-02-01,15.3,16.296875,18.642578125,15.30000000000002,15.936495165076053,17.165598472948417,15.873324
1981-02-02,18.8,16.546875,18.736328125,18.799999999999933,16.316777311950336,18.554669301161464,16.215216
1981-02-03,21.9,16.171875,18.716796875,21.900000000000126,15.94468306396993,18.26634516132716,16.08637
1981-02-04,19.9,16.546875,17.884765625,19.89999999999997,16.253493380595085,17.703409456491457,16.00265
1981-02-05,16.6,15.890625,16.314453125,16.599999999999895,15.747178813051473,17.011138580408296,15.948848
